movieTitle,tomatometer_rating,audience_rating
A Christmas Carol,100.0,74.0
Christmas in Connecticut,88.0,75.0
A Christmas Story,89.0,88.0
Cimarron,50.0,25.0
Cleopatra,62.0,69.0
College,89.0,73.0
Colors,82.0,72.0
Coma,81.0,66.0
Commando,71.0,67.0
Convoy,43.0,73.0
Countdown,67.0,27.0
The Country Girl,86.0,77.0
Cover Girl,95.0,70.0
Creature from the Black Lagoon,79.0,73.0
Crossroads,73.0,82.0
Cutting Class,25.0,22.0
Damn Yankees,76.0,69.0
Dangerous,83.0,61.0
Dangerous Liaisons,93.0,83.0
The Dark Mirror,71.0,56.0
Darling,67.0,71.0
Day of the Dead,81.0,75.0
The Day the Earth Stood Still,95.0,87.0
Days of Wine and Roses,100.0,88.0
Dead Heat,11.0,49.0
Dead Reckoning,67.0,66.0
Death in Venice,71.0,81.0
Death of a Salesman,100.0,75.0
Demoni Demons,60.0,65.0
The Desperate Hours,86.0,79.0
Devil Doll,20.0,28.0
Dillinger,92.0,73.0
Dinner at Eight,90.0,74.0
Distant Thunder,43.0,45.0
Doctor Zhivago,84.0,88.0
Dodge City,100.0,74.0
Dolls,60.0,51.0
Dr Jekyll and Mr Hyde,90.0,80.0
How the Grinch Stole Christmas,100.0,98.0
Dracula,92.0,81.0
Dracula,60.0,43.0
Dracula,59.0,58.0
Dragnet,51.0,41.0
The Dream Team,57.0,61.0
Dressed to Kill,80.0,74.0
Duel,88.0,84.0
Dune,53.0,66.0
The Eagle Has Landed,67.0,67.0
East of Eden,85.0,90.0
Easy Money,60.0,58.0
Eaten Alive,35.0,30.0
Edipo re Oedipus Rex,88.0,77.0
The Elephant Man,92.0,93.0
The Enforcer,68.0,59.0
The Enforcer,88.0,70.0
Escape from New York,86.0,77.0
Exodus,63.0,69.0
Eyewitness,75.0,38.0
Fahrenheit 451,81.0,72.0
The Fan,38.0,32.0
Fandango,50.0,78.0
Far From the Madding Crowd,64.0,76.0
Farewell My Lovely,76.0,73.0
Fatal Attraction,76.0,72.0
Father of the Bride,90.0,74.0
Fire and Ice,60.0,53.0
Flash Gordon,83.0,69.0
Flashback,43.0,60.0
Flesh  Blood FleshBlood The Rose and the Sword,85.0,63.0
The Flight of the Phoenix,90.0,81.0
Flipper,40.0,49.0
The Fly,95.0,70.0
The Fly,92.0,83.0
Flying Tigers,67.0,68.0
Footloose,52.0,71.0
The Four Feathers,100.0,85.0
Frantic,76.0,64.0
Freaky Friday,70.0,57.0
Fright Night,92.0,76.0
From Here to Eternity,92.0,84.0
Frosty the Snowman,73.0,72.0
The Fugitive,86.0,61.0
Fun with Dick and Jane,50.0,51.0
Funny Farm,65.0,50.0
The Fury,75.0,49.0
Galaxy of Terror Mindwarp An Infinity of Terror Planet of Horrors Quest,31.0,29.0
Gallipoli,91.0,83.0
The Gambler,78.0,77.0
Game of Death,50.0,64.0
The General,93.0,92.0
The Getaway,86.0,81.0
Girls Girls Girls,33.0,50.0
Gloria,93.0,80.0
Glory,93.0,93.0
Go West,89.0,59.0
Gone in 60 Seconds,43.0,66.0
The Goodbye Girl,84.0,84.0
Goodbye Mr Chips,82.0,87.0
The Great Gatsby,39.0,47.0
The Great Race,74.0,83.0
The Green Berets,23.0,61.0
Grizzly,40.0,31.0
The Group,60.0,58.0
Gullivers Travels,69.0,53.0
The Gunfighter,100.0,89.0
Gung Ho,33.0,46.0
Gypsy,64.0,74.0
Hairspray,98.0,80.0
Halloween,96.0,89.0
Hamlet,95.0,80.0
The Hand,11.0,28.0
Hard Times,92.0,81.0
Hardcore,76.0,67.0
The Harder They Fall,100.0,80.0
The Haunting,88.0,82.0
Hawaii,67.0,53.0
Heat,17.0,26.0
Heaven,67.0,67.0
Heaven Can Wait,88.0,68.0
Heidi,100.0,74.0
The Hidden Fortress kakushitoride No Sanakunin,97.0,93.0
The Hills Have Eyes,65.0,54.0
The Hindenburg,36.0,37.0
The Hit,86.0,75.0
A Hole in the Head,75.0,49.0
Hot Pursuit,0.0,43.0
100 Bloody Acres,79.0,47.0
100 Girls,60.0,50.0
100 Streets,41.0,36.0
The Hound of the Baskervilles,91.0,83.0
The Hound of the Baskervilles,94.0,72.0
House Ding Dong Youre Dead,57.0,46.0
House of Wax,95.0,72.0
House On Haunted Hill,88.0,73.0
Hud,82.0,89.0
The Human Factor,33.0,23.0
The Hunchback of Notre Dame,92.0,76.0
The Hunchback of Notre Dame,93.0,87.0
The Hunter,50.0,49.0
Hustle,63.0,48.0
I the Jury,40.0,39.0
Imitation of Life,81.0,91.0
The Importance of Being Earnest,88.0,83.0
Impulse,25.0,21.0
In Cold Blood,84.0,88.0
The Incubus,29.0,22.0
Indiscreet,100.0,69.0
The Informer,94.0,77.0
Inherit the Wind,92.0,91.0
Intolerance,97.0,77.0
Invaders from Mars,82.0,56.0
Invaders From Mars,33.0,33.0
Invasion of the Body Snatchers,98.0,85.0
Invasion of the Body Snatchers,93.0,81.0
The Invisible Man,94.0,85.0
The Island,40.0,51.0
The Island of Dr Moreau,56.0,40.0
Islands in the Stream,88.0,63.0
It,87.0,81.0
Its Alive,74.0,40.0
Ivanhoe,81.0,64.0
Jack and the Beanstalk,43.0,38.0
Jack Frost,57.0,61.0
Jamaica Inn,57.0,36.0
Jason and the Argonauts,89.0,79.0
The Jazz Singer,75.0,56.0
The Jazz Singer,19.0,70.0
Jesus Christ Superstar,52.0,76.0
Johnny Belinda,89.0,88.0
Judex,90.0,82.0
Julius Caesar,95.0,81.0
Julius Caesar,40.0,35.0
Jungle Book,57.0,56.0
Kansas,20.0,19.0
Kickboxer,36.0,65.0
Kid Galahad,40.0,57.0
The Killer Elite,50.0,34.0
The King and I,96.0,83.0
