movie_title,genres,tomatometer_rating,tomatometer_count,audience_rating,audience_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
The 4th Dimension,"Drama, Science Fiction & Fantasy",63.0,8.0,31.0,394.0,5,3
"Bon Cop, Bad Cop","Action & Adventure, Comedy",78.0,9.0,82.0,20404.0,7,2
Amazing Grace,"Drama, Mystery & Suspense",67.0,126.0,85.0,54320.0,85,41
The Silence,"Action & Adventure, Drama, Mystery & Suspense, Television",50.0,6.0,38.0,374.0,3,3
Cocaine Cowboys,Documentary,69.0,51.0,79.0,77110.0,35,16
Gone,"Horror, Mystery & Suspense",54.0,13.0,20.0,3329.0,7,6
The Situation,"Drama, Mystery & Suspense",35.0,48.0,58.0,2381.0,17,31
Snow Blind,"Documentary, Sports & Fitness",20.0,5.0,63.0,0.0,1,4
Four Sheets to the Wind,"Art House & International, Drama",100.0,7.0,61.0,519.0,7,0
The Tiger's Tail,"Comedy, Drama, Mystery & Suspense",14.0,21.0,30.0,660.0,3,18
It's a Boy Girl Thing,"Comedy, Romance",67.0,9.0,61.0,30371.0,6,3
Slipstream,"Art House & International, Comedy, Drama, Science Fiction & Fantasy",25.0,40.0,29.0,3523.0,10,30
Delirious,"Comedy, Drama",83.0,63.0,57.0,8464.0,52,11
Interview,"Art House & International, Drama",58.0,125.0,55.0,25860.0,72,53
American Anthem,"Action & Adventure, Documentary, Drama",0.0,16.0,65.0,1341.0,0,16
The Ten,Comedy,35.0,82.0,40.0,77951.0,29,53
The Happening,"Drama, Mystery & Suspense, Science Fiction & Fantasy",17.0,183.0,24.0,370222.0,32,151
Molière,Comedy,69.0,89.0,79.0,10937.0,61,28
Straightheads (Closure),"Drama, Mystery & Suspense",40.0,20.0,32.0,4645.0,8,12
Borderland,"Drama, Horror, Mystery & Suspense",100.0,8.0,43.0,4194.0,8,0
Spiral,"Drama, Mystery & Suspense",55.0,11.0,59.0,9001.0,6,5
Alexandra,Drama,88.0,59.0,69.0,1333.0,52,7
Blood and Tears: The Arab-Israeli Conflict,Documentary,50.0,6.0,33.0,1719.0,3,3
The Cool School,"Documentary, Musical & Performing Arts",92.0,26.0,63.0,514.0,24,2
